timestamp;temperature_forecast;sun_radiation_forecast;sun_radiation;temperature
1390518000000;-4.250;0.000;0.000;-3.864
1390521600000;-4.480;0.000;0.000;-4.010
1390525200000;-4.620;0.000;0.000;-4.176
1390528800000;-4.720;0.000;0.000;-3.844
1390532400000;-4.610;0.000;0.000;-4.059
1390536000000;-4.680;0.000;0.000;-3.844
1390539600000;-5.430;0.000;0.000;-3.903
1390543200000;-5.990;0.000;0.000;-3.844
1390546800000;-6.000;6.794;0.000;-4.079
1390550400000;-4.470;69.200;1.746;-3.610
1390554000000;-2.790;138.619;62.409;-2.914
1390557600000;-2.190;188.536;82.098;-2.638
1390561200000;-1.870;205.575;104.393;-1.848
1390564800000;-1.810;189.392;139.409;-1.793
1390568400000;-2.110;140.547;122.852;-1.782
1390572000000;-3.260;66.303;44.170;-1.970
1390575600000;-5.140;6.681;19.954;-2.412
1390579200000;-5.630;0.000;0.000;-2.525
1390582800000;-5.760;0.000;0.000;-2.638
1390586400000;-5.860;0.000;0.000;-2.713
1390590000000;-5.900;0.000;0.000;-2.786
1390593600000;-5.380;0.000;0.000;-2.685
1390597200000;-5.810;0.000;0.000;-2.750
1390600800000;-6.070;0.000;0.000;-2.914
1390604400000;-6.510;0.000;0.000;-3.360
1390608000000;-7.230;0.000;0.000;-3.844
1390611600000;-7.980;0.000;0.000;-4.743
1390615200000;-8.580;0.000;0.000;-5.535
1390618800000;-8.770;0.000;0.000;-6.388
1390622400000;-8.750;0.000;0.000;-6.747
1390626000000;-8.420;0.000;0.000;-6.994
1390629600000;-8.470;0.000;0.000;-7.539
1390633200000;-7.980;8.925;0.000;-7.734
1390636800000;-7.440;72.208;17.279;-7.611
1390640400000;-6.160;134.903;67.935;-6.984
1390644000000;-5.500;168.894;118.314;-6.357
1390647600000;-5.130;185.319;142.069;-5.761
1390651200000;-5.060;175.122;137.191;-5.586
1390654800000;-5.240;134.750;120.242;-5.514
1390658400000;-5.730;70.533;54.071;-5.761
1390662000000;-6.550;9.431;14.835;-5.966
1390665600000;-6.720;0.000;0.000;-6.254
1390669200000;-6.780;0.000;0.000;-5.884
1390672800000;-6.950;0.000;0.000;-5.977
1390676400000;-7.280;0.000;0.000;-6.264
1390680000000;-7.660;0.000;0.000;-6.799
1390683600000;-7.760;0.000;0.000;-7.354
1390687200000;-7.890;0.000;0.000;-7.487
1390690800000;-8.030;0.000;0.000;-7.734
1390694400000;-8.140;0.000;0.000;-7.981
1390698000000;-8.150;0.000;0.000;-8.228
1390701600000;-8.190;0.000;0.000;-7.919
1390705200000;-7.650;0.000;0.000;-7.487
1390708800000;-7.850;0.000;0.000;-6.994
