Start,End,Celle 6.Gardin4 (Celle 6) [%],Celle 6.Lys (Celle 6) [μmol],Celle 6.Regn (Celle 6) [],Celle 6.Udetemp (Celle 6) [°C],Celle 6.Udelys (Celle 6) [W/m2]
2014-01-01 00:00,2014-01-01 00:59,100.0,0.0,0.0,2.9,0.0
2014-01-01 01:00,2014-01-01 01:59,100.0,0.0,0.0,3.0,0.0
2014-01-01 02:00,2014-01-01 02:59,100.0,0.0,0.0,3.1,0.0
2014-01-01 03:00,2014-01-01 03:59,100.0,0.0,0.0,2.8,0.0
2014-01-01 04:00,2014-01-01 04:59,100.0,0.0,0.0,2.6,0.0
2014-01-01 05:00,2014-01-01 05:59,100.0,0.0,0.0,2.6,0.0
2014-01-01 06:00,2014-01-01 06:59,100.0,0.0,0.0,2.5,0.0
2014-01-01 07:00,2014-01-01 07:59,100.0,0.0,0.0,2.8,0.0
2014-01-01 08:00,2014-01-01 08:59,88.7,0.0,0.0,2.8,0.0
2014-01-01 09:00,2014-01-01 09:59,0.1,0.0,0.2,2.8,2.9
2014-01-01 10:00,2014-01-01 10:59,0.0,432.2,1.0,2.8,28.3
2014-01-01 11:00,2014-01-01 11:59,0.0,647.5,0.1,3.2,34.5
2014-01-01 12:00,2014-01-01 12:59,0.0,698.5,0.0,3.7,36.1
2014-01-01 13:00,2014-01-01 13:59,0.0,558.2,0.0,4.1,29.7
2014-01-01 14:00,2014-01-01 14:59,0.0,185.8,0.0,4.4,16.3
2014-01-01 15:00,2014-01-01 15:59,21.4,4.3,0.0,4.5,3.8
2014-01-01 16:00,2014-01-01 16:59,100.0,0.0,0.0,4.1,0.0
2014-01-01 17:00,2014-01-01 17:59,100.0,0.0,0.0,3.3,0.0
2014-01-01 18:00,2014-01-01 18:59,100.0,0.0,0.0,3.2,0.0
2014-01-01 19:00,2014-01-01 19:59,100.0,0.0,0.0,3.1,0.0
2014-01-01 20:00,2014-01-01 20:59,100.0,0.0,0.0,3.1,0.0
2014-01-01 21:00,2014-01-01 21:59,100.0,0.0,0.0,2.8,0.0
2014-01-01 22:00,2014-01-01 22:59,100.0,0.0,0.0,2.8,0.0
2014-01-01 23:00,2014-01-01 23:59,100.0,0.0,0.0,2.7,0.0
2014-01-02 00:00,2014-01-02 00:59,100.0,0.0,0.0,2.7,0.0
2014-01-02 01:00,2014-01-02 01:59,100.0,0.0,0.0,2.6,0.0
2014-01-02 02:00,2014-01-02 02:59,100.0,0.0,0.0,2.6,0.0
2014-01-02 03:00,2014-01-02 03:59,100.0,0.0,0.0,2.8,0.0
2014-01-02 04:00,2014-01-02 04:59,100.0,0.0,0.0,3.3,0.0
2014-01-02 05:00,2014-01-02 05:59,100.0,0.0,0.0,3.6,0.0
2014-01-02 06:00,2014-01-02 06:59,100.0,0.0,0.1,4.0,0.0
2014-01-02 07:00,2014-01-02 07:59,100.0,0.0,0.9,4.4,0.0
2014-01-02 08:00,2014-01-02 08:59,87.8,0.0,0.5,4.5,0.0
2014-01-02 09:00,2014-01-02 09:59,0.0,0.0,0.4,4.9,1.1
2014-01-02 10:00,2014-01-02 10:59,0.0,98.5,0.8,4.8,14.7
2014-01-02 11:00,2014-01-02 11:59,0.0,540.8,0.1,4.9,31.2
2014-01-02 12:00,2014-01-02 12:59,0.0,366.4,0.4,4.8,23.2
2014-01-02 13:00,2014-01-02 13:59,0.0,360.3,0.3,4.9,23.6
2014-01-02 14:00,2014-01-02 14:59,0.0,67.8,0.0,5.2,11.1
2014-01-02 15:00,2014-01-02 15:59,18.7,0.0,0.1,5.4,5.4
2014-01-02 16:00,2014-01-02 16:59,100.0,0.0,0.0,5.5,0.0
2014-01-02 17:00,2014-01-02 17:59,100.0,0.0,1.0,5.5,0.0
2014-01-02 18:00,2014-01-02 18:59,100.0,0.0,0.3,5.4,0.0
2014-01-02 19:00,2014-01-02 19:59,100.0,0.0,1.0,5.5,0.0
2014-01-02 20:00,2014-01-02 20:59,100.0,0.0,0.5,5.9,0.0
2014-01-02 21:00,2014-01-02 21:59,100.0,0.0,0.6,6.3,0.0
2014-01-02 22:00,2014-01-02 22:59,100.0,0.0,0.1,6.9,0.0
2014-01-02 23:00,2014-01-02 23:59,100.0,0.0,0.0,6.6,0.0
2014-01-03 00:00,2014-01-03 00:59,100.0,0.0,0.0,6.5,0.0
2014-01-03 01:00,2014-01-03 01:59,100.0,0.0,0.0,6.3,0.0
2014-01-03 02:00,2014-01-03 02:59,100.0,0.0,0.0,5.9,0.0
2014-01-03 03:00,2014-01-03 03:59,100.0,0.0,0.0,5.4,0.0
2014-01-03 04:00,2014-01-03 04:59,100.0,0.0,0.0,5.6,0.0
2014-01-03 05:00,2014-01-03 05:59,100.0,0.0,0.0,5.8,0.0
2014-01-03 06:00,2014-01-03 06:59,100.0,0.0,0.0,5.7,0.0
2014-01-03 07:00,2014-01-03 07:59,100.0,0.0,0.0,5.1,0.0
2014-01-03 08:00,2014-01-03 08:59,86.3,0.0,0.0,5.0,1.1
2014-01-03 09:00,2014-01-03 09:59,0.0,49.9,0.0,5.2,16.5
2014-01-03 10:00,2014-01-03 10:59,0.0,1219.9,0.0,5.8,57.0
2014-01-03 11:00,2014-01-03 11:59,0.0,1627.6,0.0,6.2,67.0
2014-01-03 12:00,2014-01-03 12:59,0.0,1726.3,0.0,6.3,69.4
2014-01-03 13:00,2014-01-03 13:59,0.0,697.3,0.5,6.3,34.3
2014-01-03 14:00,2014-01-03 14:59,0.0,152.3,0.8,5.7,16.2
2014-01-03 15:00,2014-01-03 15:59,17.2,0.6,1.0,5.8,0.2
2014-01-03 16:00,2014-01-03 16:59,99.2,0.0,0.0,6.5,0.0
2014-01-03 17:00,2014-01-03 17:59,98.1,0.0,0.0,7.0,0.0
2014-01-03 18:00,2014-01-03 18:59,97.1,0.0,0.0,7.4,0.0
2014-01-03 19:00,2014-01-03 19:59,97.5,0.0,0.0,7.4,0.0
2014-01-03 20:00,2014-01-03 20:59,100.0,0.0,0.0,6.9,0.0
2014-01-03 21:00,2014-01-03 21:59,100.0,0.0,0.0,6.9,0.0
2014-01-03 22:00,2014-01-03 22:59,100.0,0.0,0.4,7.2,0.0
2014-01-03 23:00,2014-01-03 23:59,100.0,0.0,0.5,5.4,0.0
2014-01-04 00:00,2014-01-04 00:59,100.0,0.0,0.0,5.3,0.0
2014-01-04 01:00,2014-01-04 01:59,100.0,0.0,0.0,5.6,0.0
2014-01-04 02:00,2014-01-04 02:59,100.0,0.0,0.0,5.8,0.0
2014-01-04 03:00,2014-01-04 03:59,100.0,0.0,0.0,6.0,0.0
