Start,End,Celle 6.RH Zone1 (Celle 6) [RH%],Celle 6.CO2 (Celle 6) [ppm],Celle 6.CO2 status (Celle 6) [],Celle 6.Luft temp (Celle 6) [°C],Celle 6.Flow1 (Celle 6) [°C]
2014-06-01 00:00,2014-06-01 00:59,60.5,472.5,0,18.2,20.7
2014-06-01 01:00,2014-06-01 01:59,62.4,475.3,0,17.8,19.8
2014-06-01 02:00,2014-06-01 02:59,63.8,477.5,0,17.5,19.2
2014-06-01 03:00,2014-06-01 03:59,65.3,505.9,0,17.2,18.7
2014-06-01 04:00,2014-06-01 04:59,66.6,556.1,0,17.0,18.4
2014-06-01 05:00,2014-06-01 05:59,69.0,601.5,0,16.5,18.0
2014-06-01 06:00,2014-06-01 06:59,69.0,630.1,0,16.7,17.9
2014-06-01 07:00,2014-06-01 07:59,64.7,640.6,0,18.2,18.6
2014-06-01 08:00,2014-06-01 08:59,57.3,638.1,0,20.7,20.7
2014-06-01 09:00,2014-06-01 09:59,51.3,582.5,0,22.5,23.0
2014-06-01 10:00,2014-06-01 10:59,39.9,474.7,0,25.4,26.0
2014-06-01 11:00,2014-06-01 11:59,36.4,432.2,0,25.3,27.5
2014-06-01 12:00,2014-06-01 12:59,33.8,423.4,0,26.3,28.5
2014-06-01 13:00,2014-06-01 13:59,33.9,418.5,0,25.9,29.6
2014-06-01 14:00,2014-06-01 14:59,34.5,420.1,0,25.6,29.4
2014-06-01 15:00,2014-06-01 15:59,32.0,414.4,0,26.2,30.4
2014-06-01 16:00,2014-06-01 16:59,31.7,408.2,0,27.1,30.8
2014-06-01 17:00,2014-06-01 17:59,32.9,417.6,0,25.6,30.2
2014-06-01 18:00,2014-06-01 18:59,34.4,420.2,0,25.1,29.1
2014-06-01 19:00,2014-06-01 19:59,36.7,427.8,0,24.3,28.4
2014-06-01 20:00,2014-06-01 20:59,41.1,436.1,0,22.8,27.1
2014-06-01 21:00,2014-06-01 21:59,47.4,450.0,0,21.2,25.4
2014-06-01 22:00,2014-06-01 22:59,56.3,470.3,0,18.8,22.9
2014-06-01 23:00,2014-06-01 23:59,61.3,489.6,0,18.1,21.0
