Start,End,Celle 6.Gardin4 (Celle 6) [%],Celle 6.Lys (Celle 6) [μmol],Celle 6.Regn (Celle 6) [],Celle 6.Udetemp (Celle 6) [°C],Celle 6.Udelys (Celle 6) [W/m2]
2014-06-01 00:00,2014-06-01 00:59,80.0,0.0,0.0,11.3,0.0
2014-06-01 01:00,2014-06-01 01:59,80.0,0.0,0.0,11.1,0.0
2014-06-01 02:00,2014-06-01 02:59,80.0,0.0,0.0,10.9,0.0
2014-06-01 03:00,2014-06-01 03:59,80.0,0.0,0.0,10.7,0.0
2014-06-01 04:00,2014-06-01 04:59,56.8,0.0,0.0,10.5,0.0
2014-06-01 05:00,2014-06-01 05:59,0.0,0.0,0.0,10.6,0.0
2014-06-01 06:00,2014-06-01 06:59,0.0,221.4,0.0,10.7,18.4
2014-06-01 07:00,2014-06-01 07:59,0.0,1659.6,0.0,11.2,71.1
2014-06-01 08:00,2014-06-01 08:59,0.0,2928.8,0.0,11.9,115.0
2014-06-01 09:00,2014-06-01 09:59,0.0,3727.2,0.0,12.8,148.2
2014-06-01 10:00,2014-06-01 10:59,27.7,5781.8,0.0,14.1,246.2
2014-06-01 11:00,2014-06-01 11:59,80.0,4339.4,0.0,14.5,244.2
2014-06-01 12:00,2014-06-01 12:59,80.0,6867.9,0.0,16.1,367.3
2014-06-01 13:00,2014-06-01 13:59,80.0,8140.0,0.0,16.8,409.4
2014-06-01 14:00,2014-06-01 14:59,80.0,6893.1,0.0,17.8,361.7
2014-06-01 15:00,2014-06-01 15:59,80.0,9531.3,0.0,18.3,463.1
2014-06-01 16:00,2014-06-01 16:59,80.0,13085.9,0.0,19.7,607.2
2014-06-01 17:00,2014-06-01 17:59,80.0,8603.3,0.0,19.2,392.4
2014-06-01 18:00,2014-06-01 18:59,80.0,6573.2,0.0,19.0,293.8
2014-06-01 19:00,2014-06-01 19:59,73.9,2303.4,0.0,16.9,108.9
2014-06-01 20:00,2014-06-01 20:59,0.0,776.3,0.0,15.4,35.0
2014-06-01 21:00,2014-06-01 21:59,28.9,168.4,0.0,14.1,12.1
2014-06-01 22:00,2014-06-01 22:59,80.0,0.0,0.0,11.6,0.0
2014-06-01 23:00,2014-06-01 23:59,80.0,0.0,0.0,11.5,0.0
2014-06-02 00:00,2014-06-02 00:59,80.0,0.0,0.0,11.6,0.0
2014-06-02 01:00,2014-06-02 01:59,80.0,0.0,0.0,11.8,0.0
2014-06-02 02:00,2014-06-02 02:59,80.0,0.0,0.0,11.4,0.0
2014-06-02 03:00,2014-06-02 03:59,80.0,0.0,0.0,10.7,0.0
2014-06-02 04:00,2014-06-02 04:59,55.5,0.0,0.0,9.5,0.0
2014-06-02 05:00,2014-06-02 05:59,0.0,128.6,0.0,10.5,6.1
2014-06-02 06:00,2014-06-02 06:59,0.0,1635.0,0.0,11.8,42.8
2014-06-02 07:00,2014-06-02 07:59,0.0,6157.1,0.0,15.5,204.2
