Start,End,Celle 6.Gardin4 (Celle 6) [%],Celle 6.Lys (Celle 6) [μmol],Celle 6.Regn (Celle 6) [],Celle 6.Udetemp (Celle 6) [°C],Celle 6.Udelys (Celle 6) [W/m2]
2014-05-01 00:00,2014-05-01 00:59,80.0,0.0,0.0,7.6,0.0
2014-05-01 01:00,2014-05-01 01:59,80.0,0.0,0.0,6.4,0.0
2014-05-01 02:00,2014-05-01 02:59,80.0,0.0,0.0,5.7,0.0
2014-05-01 03:00,2014-05-01 03:59,80.0,0.0,0.0,5.1,0.0
2014-05-01 04:00,2014-05-01 04:59,80.5,0.0,0.0,4.6,0.0
2014-05-01 05:00,2014-05-01 05:59,51.2,0.0,0.0,4.1,0.0
2014-05-01 06:00,2014-05-01 06:59,0.0,254.8,0.0,5.4,15.3
2014-05-01 07:00,2014-05-01 07:59,0.0,902.3,0.0,7.1,41.8
2014-05-01 08:00,2014-05-01 08:59,0.0,3923.6,0.0,7.6,151.8
2014-05-01 09:00,2014-05-01 09:59,0.0,8962.7,0.0,8.0,303.5
2014-05-01 10:00,2014-05-01 10:59,52.4,11055.6,0.0,8.4,448.7
2014-05-01 11:00,2014-05-01 11:59,73.9,13129.6,0.0,9.1,606.7
2014-05-01 12:00,2014-05-01 12:59,80.0,14762.3,0.0,9.5,692.4
2014-05-01 13:00,2014-05-01 13:59,80.0,14321.6,0.0,9.6,670.8
2014-05-01 14:00,2014-05-01 14:59,80.0,14254.3,0.0,9.9,668.0
2014-05-01 15:00,2014-05-01 15:59,80.0,12020.9,0.0,9.8,562.2
2014-05-01 16:00,2014-05-01 16:59,80.0,9412.1,0.0,9.5,444.2
2014-05-01 17:00,2014-05-01 17:59,80.0,8358.3,0.0,9.7,378.4
2014-05-01 18:00,2014-05-01 18:59,80.0,5334.6,0.0,9.3,228.0
2014-05-01 19:00,2014-05-01 19:59,76.6,2091.5,0.0,8.4,81.3
2014-05-01 20:00,2014-05-01 20:59,22.0,266.0,0.0,7.0,10.0
2014-05-01 21:00,2014-05-01 21:59,80.0,0.0,0.0,5.9,0.0
2014-05-01 22:00,2014-05-01 22:59,80.0,0.0,0.0,5.5,0.0
2014-05-01 23:00,2014-05-01 23:59,80.0,0.0,0.0,5.4,0.0
2014-05-02 00:00,2014-05-02 00:59,80.0,0.0,0.0,5.7,0.0
2014-05-02 01:00,2014-05-02 01:59,80.0,0.0,0.0,5.5,0.0
2014-05-02 02:00,2014-05-02 02:59,80.0,0.0,0.0,5.2,0.0
2014-05-02 03:00,2014-05-02 03:59,80.0,0.0,0.0,5.6,0.0
2014-05-02 04:00,2014-05-02 04:59,80.0,0.0,0.0,5.9,0.0
2014-05-02 05:00,2014-05-02 05:59,45.6,0.0,0.0,6.0,0.0
2014-05-02 06:00,2014-05-02 06:59,0.0,393.5,0.0,6.1,24.7
2014-05-02 07:00,2014-05-02 07:59,0.0,2140.6,0.0,7.0,89.6
2014-05-02 08:00,2014-05-02 08:59,0.0,4090.6,0.0,7.8,156.3
2014-05-02 09:00,2014-05-02 09:59,0.0,6187.2,0.0,8.5,228.7
2014-05-02 10:00,2014-05-02 10:59,13.3,7555.9,0.0,9.3,285.2
2014-05-02 11:00,2014-05-02 11:59,80.0,9373.9,0.0,10.7,472.8
2014-05-02 12:00,2014-05-02 12:59,80.0,13873.7,0.0,12.3,670.5
2014-05-02 13:00,2014-05-02 13:59,80.0,14155.6,0.0,12.4,662.8
2014-05-02 14:00,2014-05-02 14:59,80.0,11228.2,0.0,12.3,513.9
2014-05-02 15:00,2014-05-02 15:59,80.0,8803.4,0.0,12.0,413.5
2014-05-02 16:00,2014-05-02 16:59,80.0,5003.3,0.0,11.5,225.0
2014-05-02 17:00,2014-05-02 17:59,80.0,4423.6,0.0,11.1,210.2
2014-05-02 18:00,2014-05-02 18:59,80.0,3455.8,0.0,10.9,166.3
2014-05-02 19:00,2014-05-02 19:59,80.0,1420.2,0.0,10.2,60.3
2014-05-02 20:00,2014-05-02 20:59,14.6,433.6,0.0,9.5,22.5
2014-05-02 21:00,2014-05-02 21:59,80.0,0.1,0.0,5.9,0.0
2014-05-02 22:00,2014-05-02 22:59,80.0,0.0,0.0,3.9,0.0
2014-05-02 23:00,2014-05-02 23:59,80.0,0.0,0.0,2.7,0.0
2014-05-03 00:00,2014-05-03 00:59,80.6,0.0,0.0,1.9,0.0
2014-05-03 01:00,2014-05-03 01:59,87.3,0.0,0.0,1.4,0.0
2014-05-03 02:00,2014-05-03 02:59,96.1,0.0,0.0,0.7,0.0
2014-05-03 03:00,2014-05-03 03:59,100.0,0.0,0.0,0.3,0.0
2014-05-03 04:00,2014-05-03 04:59,100.0,0.0,0.0,0.0,0.0
2014-05-03 05:00,2014-05-03 05:59,52.5,0.0,0.0,-0.4,0.7
2014-05-03 06:00,2014-05-03 06:59,0.0,568.3,0.0,1.0,20.9
2014-05-03 07:00,2014-05-03 07:59,0.0,3310.3,0.0,4.2,114.1
2014-05-03 08:00,2014-05-03 08:59,0.0,8794.5,0.0,8.3,301.5
2014-05-03 09:00,2014-05-03 09:59,44.3,10574.0,0.0,9.6,439.7
2014-05-03 10:00,2014-05-03 10:59,80.0,10407.3,0.0,11.3,503.6
2014-05-03 11:00,2014-05-03 11:59,80.0,13187.5,0.0,11.9,631.9
2014-05-03 12:00,2014-05-03 12:59,80.0,14531.1,0.0,12.0,683.8
2014-05-03 13:00,2014-05-03 13:59,80.0,13151.4,0.0,12.0,607.8
2014-05-03 14:00,2014-05-03 14:59,80.0,11596.5,0.0,11.6,530.5
2014-05-03 15:00,2014-05-03 15:59,80.0,11089.4,0.0,11.3,526.2
2014-05-03 16:00,2014-05-03 16:59,80.0,9752.3,0.0,11.2,462.9
2014-05-03 17:00,2014-05-03 17:59,80.0,5325.2,0.0,9.9,259.9
2014-05-03 18:00,2014-05-03 18:59,80.0,1816.9,0.0,8.8,100.0
2014-05-03 19:00,2014-05-03 19:59,79.2,1133.2,0.0,8.2,73.4
2014-05-03 20:00,2014-05-03 20:59,16.7,178.8,0.0,7.5,17.6
2014-05-03 21:00,2014-05-03 21:59,80.0,0.0,0.0,7.0,0.0
2014-05-03 22:00,2014-05-03 22:59,80.0,0.0,0.0,6.2,0.0
2014-05-03 23:00,2014-05-03 23:59,80.0,0.0,0.0,5.7,0.0
2014-05-04 00:00,2014-05-04 00:59,80.0,0.0,0.0,5.2,0.0
2014-05-04 01:00,2014-05-04 01:59,80.0,0.0,0.0,4.7,0.0
2014-05-04 02:00,2014-05-04 02:59,83.9,0.0,0.0,4.2,0.0
2014-05-04 03:00,2014-05-04 03:59,89.9,0.0,0.0,4.2,0.0
2014-05-04 04:00,2014-05-04 04:59,92.3,0.0,0.0,4.4,0.0
2014-05-04 05:00,2014-05-04 05:59,44.5,0.1,0.0,4.3,0.4
2014-05-04 06:00,2014-05-04 06:59,0.0,612.3,0.0,4.5,18.5
2014-05-04 07:00,2014-05-04 07:59,0.0,3668.0,0.0,6.3,119.9
2014-05-04 08:00,2014-05-04 08:59,0.0,8027.9,0.0,8.1,265.0
2014-05-04 09:00,2014-05-04 09:59,0.0,6068.7,0.0,8.1,216.9
2014-05-04 10:00,2014-05-04 10:59,9.8,7446.8,0.0,8.7,281.2
2014-05-04 11:00,2014-05-04 11:59,80.0,8616.0,0.0,10.0,431.1
2014-05-04 12:00,2014-05-04 12:59,80.0,7934.7,0.0,10.3,393.2
2014-05-04 13:00,2014-05-04 13:59,80.0,6554.5,0.0,10.7,336.3
2014-05-04 14:00,2014-05-04 14:59,80.0,7528.1,0.0,11.0,378.9
2014-05-04 15:00,2014-05-04 15:59,80.0,6420.7,0.0,11.5,324.8
2014-05-04 16:00,2014-05-04 16:59,80.0,7612.1,0.0,11.4,395.9
2014-05-04 17:00,2014-05-04 17:59,80.0,4328.8,0.0,11.3,221.6
2014-05-04 18:00,2014-05-04 18:59,80.0,2945.9,0.0,10.9,145.4
2014-05-04 19:00,2014-05-04 19:59,80.0,1706.9,0.0,10.5,88.1
2014-05-04 20:00,2014-05-04 20:59,21.4,326.3,0.0,8.5,15.4
2014-05-04 21:00,2014-05-04 21:59,80.0,0.1,0.0,6.8,0.0
2014-05-04 22:00,2014-05-04 22:59,80.0,0.0,0.0,5.2,0.0
2014-05-04 23:00,2014-05-04 23:59,80.0,0.0,0.0,4.9,0.0
2014-05-05 00:00,2014-05-05 00:59,80.0,0.0,0.0,4.3,0.0
2014-05-05 01:00,2014-05-05 01:59,80.8,0.0,0.0,3.4,0.0
2014-05-05 02:00,2014-05-05 02:59,87.2,0.0,0.0,2.5,0.0
2014-05-05 03:00,2014-05-05 03:59,90.8,0.0,0.0,2.5,0.0
2014-05-05 04:00,2014-05-05 04:59,90.0,0.0,0.0,2.9,0.0
