Start,End,Celle 6.RH Zone1 (Celle 6) [RH%],Celle 6.CO2 (Celle 6) [ppm],Celle 6.CO2 status (Celle 6) [],Celle 6.Luft temp (Celle 6) [°C],Celle 6.Flow1 (Celle 6) [°C]
2014-03-01 00:00,2014-03-01 00:59,55.9,594.6,0.0,21.0,42.2
2014-03-01 01:00,2014-03-01 01:59,55.7,554.5,0.0,20.9,43.0
2014-03-01 02:00,2014-03-01 02:59,56.9,554.4,0.0,20.9,40.5
2014-03-01 03:00,2014-03-01 03:59,56.4,613.6,0.0,21.1,41.6
2014-03-01 04:00,2014-03-01 04:59,56.1,639.7,0.0,20.9,44.0
2014-03-01 05:00,2014-03-01 05:59,52.1,637.8,0.0,21.0,46.2
2014-03-01 06:00,2014-03-01 06:59,51.6,634.9,0.0,21.0,43.9
2014-03-01 07:00,2014-03-01 07:59,52.5,827.1,0.2,20.6,55.1
2014-03-01 08:00,2014-03-01 08:59,55.4,810.7,0.1,21.7,42.3
2014-03-01 09:00,2014-03-01 09:59,58.6,808.2,0.1,21.0,32.7
2014-03-01 10:00,2014-03-01 10:59,61.3,802.3,0.1,20.7,40.5
2014-03-01 11:00,2014-03-01 11:59,59.5,802.6,0.1,21.8,32.4
2014-03-01 12:00,2014-03-01 12:59,61.5,802.7,0.2,21.3,28.7
2014-03-01 13:00,2014-03-01 13:59,59.8,770.0,0.3,22.3,29.0
2014-03-01 14:00,2014-03-01 14:59,50.8,737.6,0.9,25.0,29.3
2014-03-01 15:00,2014-03-01 15:59,52.0,710.4,0.8,23.3,28.8
2014-03-01 16:00,2014-03-01 16:59,56.1,757.5,1.0,20.3,41.5
2014-03-01 17:00,2014-03-01 17:59,53.2,708.2,0.7,21.2,51.9
2014-03-01 18:00,2014-03-01 18:59,52.9,595.3,0.0,21.5,37.5
2014-03-01 19:00,2014-03-01 19:59,52.1,534.8,0.0,20.5,48.9
2014-03-01 20:00,2014-03-01 20:59,51.7,519.1,0.0,21.0,42.7
2014-03-01 21:00,2014-03-01 21:59,50.8,510.9,0.0,21.1,45.2
2014-03-01 22:00,2014-03-01 22:59,50.9,492.1,0.0,20.9,45.6
2014-03-01 23:00,2014-03-01 23:59,49.2,485.4,0.0,21.0,46.2
2014-03-02 00:00,2014-03-02 00:59,48.4,481.0,0.0,21.0,47.4
2014-03-02 01:00,2014-03-02 01:59,48.0,479.3,0.0,21.0,46.8
2014-03-02 02:00,2014-03-02 02:59,49.0,477.0,0.0,21.0,45.8
2014-03-02 03:00,2014-03-02 03:59,48.3,475.1,0.0,20.9,48.3
2014-03-02 04:00,2014-03-02 04:59,48.1,470.2,0.0,21.0,47.6
2014-03-02 05:00,2014-03-02 05:59,48.6,466.6,0.0,21.0,47.9
2014-03-02 06:00,2014-03-02 06:59,49.3,463.2,0.0,21.1,45.4
2014-03-02 07:00,2014-03-02 07:59,51.1,464.5,0.9,20.4,59.2
2014-03-02 08:00,2014-03-02 08:59,52.4,459.6,1.0,21.2,48.1
2014-03-02 09:00,2014-03-02 09:59,55.8,456.6,1.0,21.0,50.2
2014-03-02 10:00,2014-03-02 10:59,57.0,436.9,1.0,22.0,36.6
2014-03-02 11:00,2014-03-02 11:59,59.5,420.3,1.0,22.2,31.2
2014-03-02 12:00,2014-03-02 12:59,60.8,415.2,1.0,21.3,27.9
2014-03-02 13:00,2014-03-02 13:59,59.6,408.3,1.0,21.9,25.9
2014-03-02 14:00,2014-03-02 14:59,61.7,412.4,1.0,20.6,33.6
2014-03-02 15:00,2014-03-02 15:59,59.7,425.4,1.0,20.7,49.1
