Start,End,Celle 6.RH Zone1 (Celle 6) [RH%],Celle 6.CO2 (Celle 6) [ppm],Celle 6.CO2 status (Celle 6) [],Celle 6.Luft temp (Celle 6) [°C],Celle 6.Flow1 (Celle 6) [°C]
2014-03-17 00:00,2014-03-17 00:59,57.5,803.3,0.2,21.7,36.4
2014-03-17 01:00,2014-03-17 01:59,59.0,803.9,0.1,21.3,30.5
2014-03-17 02:00,2014-03-17 02:59,60.4,801.0,0.1,20.8,38.4
2014-03-17 03:00,2014-03-17 03:59,60.1,810.3,0.2,21.0,36.1
2014-03-17 04:00,2014-03-17 04:59,60.2,800.2,0.1,21.0,38.6
2014-03-17 05:00,2014-03-17 05:59,59.9,800.0,0.2,21.0,39.1
2014-03-17 06:00,2014-03-17 06:59,59.8,807.4,0.1,21.0,40.0
2014-03-17 07:00,2014-03-17 07:59,60.2,801.3,0.2,20.7,39.7
2014-03-17 08:00,2014-03-17 08:59,58.1,791.0,0.2,21.9,35.6
2014-03-17 09:00,2014-03-17 09:59,59.9,835.8,0.1,22.3,30.3
2014-03-17 10:00,2014-03-17 10:59,45.1,599.0,0.2,25.1,28.7
2014-03-17 11:00,2014-03-17 11:59,37.4,451.3,0.0,25.0,30.8
2014-03-17 12:00,2014-03-17 12:59,35.1,500.5,0.4,25.1,31.0
2014-03-17 13:00,2014-03-17 13:59,35.8,435.9,0.0,24.9,30.4
2014-03-17 14:00,2014-03-17 14:59,41.4,691.6,0.6,25.2,30.1
2014-03-17 15:00,2014-03-17 15:59,44.0,713.4,0.5,23.6,29.1
2014-03-17 16:00,2014-03-17 16:59,55.5,847.7,0.1,22.0,27.4
2014-03-17 17:00,2014-03-17 17:59,62.1,838.8,0.0,20.5,36.0
2014-03-17 18:00,2014-03-17 18:59,60.7,796.1,0.0,21.4,37.7
2014-03-17 19:00,2014-03-17 19:59,58.9,696.6,0.0,20.8,33.8
2014-03-17 20:00,2014-03-17 20:59,58.5,619.4,0.0,20.8,41.0
2014-03-17 21:00,2014-03-17 21:59,56.7,561.7,0.0,21.3,37.6
2014-03-17 22:00,2014-03-17 22:59,58.1,541.8,0.0,20.7,40.2
2014-03-17 23:00,2014-03-17 23:59,56.1,506.1,0.0,21.2,40.7
2014-03-18 00:00,2014-03-18 00:59,53.0,808.0,0.4,21.6,35.1
2014-03-18 01:00,2014-03-18 01:59,54.1,801.5,0.3,21.8,29.5
2014-03-18 02:00,2014-03-18 02:59,56.1,808.7,0.2,21.1,26.6
2014-03-18 03:00,2014-03-18 03:59,56.8,828.2,0.0,21.0,27.2
2014-03-18 04:00,2014-03-18 04:59,57.4,812.7,0.1,21.0,27.8
2014-03-18 05:00,2014-03-18 05:59,57.5,810.3,0.1,21.0,28.8
2014-03-18 06:00,2014-03-18 06:59,56.5,808.6,0.1,20.7,37.6
2014-03-18 07:00,2014-03-18 07:59,52.7,807.0,0.1,21.1,35.6
2014-03-18 08:00,2014-03-18 08:59,55.4,806.1,0.1,20.7,39.8
2014-03-18 09:00,2014-03-18 09:59,55.8,809.0,0.1,22.1,33.7
2014-03-18 10:00,2014-03-18 10:59,56.9,805.5,0.1,23.7,30.1
2014-03-18 11:00,2014-03-18 11:59,56.1,814.7,0.1,23.7,28.8
2014-03-18 12:00,2014-03-18 12:59,57.3,798.2,0.1,23.3,27.9
2014-03-18 13:00,2014-03-18 13:59,56.3,812.1,0.1,24.4,27.8
2014-03-18 14:00,2014-03-18 14:59,55.6,806.0,0.2,24.0,27.7
2014-03-18 15:00,2014-03-18 15:59,57.5,809.6,0.1,22.4,27.5
2014-03-18 16:00,2014-03-18 16:59,57.5,813.1,0.1,21.0,30.6
2014-03-18 17:00,2014-03-18 17:59,58.4,810.5,0.1,21.8,27.8
2014-03-18 18:00,2014-03-18 18:59,58.8,816.4,0.1,21.1,29.2
2014-03-18 19:00,2014-03-18 19:59,57.8,850.4,0.0,21.0,26.6
2014-03-18 20:00,2014-03-18 20:59,61.2,893.2,0.0,20.5,39.8
2014-03-18 21:00,2014-03-18 21:59,58.7,821.2,0.0,21.1,40.6
2014-03-18 22:00,2014-03-18 22:59,57.8,708.8,0.0,20.9,40.8
2014-03-18 23:00,2014-03-18 23:59,58.4,664.1,0.0,21.0,40.3
2014-03-19 00:00,2014-03-19 00:59,58.7,619.1,0.0,21.0,40.0
2014-03-19 01:00,2014-03-19 01:59,58.7,580.5,0.0,20.9,39.7
2014-03-19 02:00,2014-03-19 02:59,58.6,573.9,0.0,21.1,39.8
2014-03-19 03:00,2014-03-19 03:59,55.6,809.4,0.2,21.8,33.9
2014-03-19 04:00,2014-03-19 04:59,54.2,815.0,0.1,21.3,29.2
2014-03-19 05:00,2014-03-19 05:59,59.4,813.5,0.0,20.4,39.7
2014-03-19 06:00,2014-03-19 06:59,57.6,797.7,0.2,20.8,43.0
2014-03-19 07:00,2014-03-19 07:59,57.6,809.6,0.1,21.7,38.9
2014-03-19 08:00,2014-03-19 08:59,57.7,808.0,0.1,21.5,31.3
2014-03-19 09:00,2014-03-19 09:59,60.7,806.5,0.1,20.7,38.6
2014-03-19 10:00,2014-03-19 10:59,59.8,808.8,0.1,21.1,33.5
2014-03-19 11:00,2014-03-19 11:59,61.9,814.6,0.1,20.5,39.6
2014-03-19 12:00,2014-03-19 12:59,56.5,821.7,0.1,22.6,34.6
2014-03-19 13:00,2014-03-19 13:59,56.6,818.9,0.1,22.6,30.0
2014-03-19 14:00,2014-03-19 14:59,56.7,812.9,0.1,22.1,27.9
2014-03-19 15:00,2014-03-19 15:59,58.5,802.3,0.1,22.0,26.4
2014-03-19 16:00,2014-03-19 16:59,62.3,807.3,0.1,20.8,34.4
2014-03-19 17:00,2014-03-19 17:59,62.8,814.7,0.1,20.7,41.1
2014-03-19 18:00,2014-03-19 18:59,60.5,839.6,0.0,21.5,38.1
2014-03-19 19:00,2014-03-19 19:59,55.4,822.1,0.1,21.6,30.4
2014-03-19 20:00,2014-03-19 20:59,55.0,820.4,0.1,21.1,27.7
2014-03-19 21:00,2014-03-19 21:59,54.2,814.7,0.2,21.0,29.9
2014-03-19 22:00,2014-03-19 22:59,54.1,789.9,0.2,21.0,29.6
2014-03-19 23:00,2014-03-19 23:59,53.4,795.6,0.2,21.0,31.4
