Start,End,Celle 6.Gardin4 (Celle 6) [%],Celle 6.Lys (Celle 6) [μmol],Celle 6.Regn (Celle 6) [],Celle 6.Udetemp (Celle 6) [°C],Celle 6.Udelys (Celle 6) [W/m2]
2014-09-01 00:00,2014-09-01 00:59,90.0,0.0,0.0,14.8,0.0
2014-09-01 01:00,2014-09-01 01:59,90.0,0.0,0.0,14.9,0.0
2014-09-01 02:00,2014-09-01 02:59,90.0,0.0,0.0,14.9,0.0
2014-09-01 03:00,2014-09-01 03:59,90.0,0.0,0.0,14.7,0.0
2014-09-01 04:00,2014-09-01 04:59,90.0,0.0,0.0,14.4,0.0
2014-09-01 05:00,2014-09-01 05:59,90.0,0.0,0.0,14.3,0.0
2014-09-01 06:00,2014-09-01 06:59,29.4,0.0,0.0,14.2,0.0
2014-09-01 07:00,2014-09-01 07:59,0.0,1.4,0.0,14.1,5.7
2014-09-01 08:00,2014-09-01 08:59,0.0,59.1,0.0,14.6,47.7
2014-09-01 09:00,2014-09-01 09:59,0.0,133.8,0.0,15.4,93.8
2014-09-01 10:00,2014-09-01 10:59,0.0,123.8,0.0,15.9,85.2
2014-09-01 11:00,2014-09-01 11:59,0.0,159.6,0.0,16.3,107.7
2014-09-01 12:00,2014-09-01 12:59,0.0,147.4,0.0,16.8,100.6
2014-09-01 13:00,2014-09-01 13:59,0.0,201.4,0.0,17.5,135.7
2014-09-01 14:00,2014-09-01 14:59,0.0,457.0,0.0,18.7,301.1
2014-09-01 15:00,2014-09-01 15:59,0.0,373.6,0.0,18.7,238.8
2014-09-01 16:00,2014-09-01 16:59,0.0,244.5,0.0,18.3,160.3
2014-09-01 17:00,2014-09-01 17:59,0.0,158.0,0.0,17.7,108.5
2014-09-01 18:00,2014-09-01 18:59,0.0,72.6,0.0,17.2,55.2
2014-09-01 19:00,2014-09-01 19:59,3.4,10.7,0.0,16.6,15.1
2014-09-01 20:00,2014-09-01 20:59,90.0,0.0,0.0,15.8,0.0
2014-09-01 21:00,2014-09-01 21:59,90.0,0.0,0.0,15.4,0.0
2014-09-01 22:00,2014-09-01 22:59,90.0,0.0,0.0,14.9,0.0
2014-09-01 23:00,2014-09-01 23:59,90.0,0.0,0.0,13.9,0.0
2014-09-02 00:00,2014-09-02 00:59,90.0,0.0,0.0,13.2,0.0
2014-09-02 01:00,2014-09-02 01:59,90.0,0.0,0.0,12.0,0.0
2014-09-02 02:00,2014-09-02 02:59,90.0,0.0,0.0,11.5,0.0
2014-09-02 03:00,2014-09-02 03:59,90.0,0.0,0.0,11.4,0.0
2014-09-02 04:00,2014-09-02 04:59,90.0,0.0,0.0,10.8,0.0
2014-09-02 05:00,2014-09-02 05:59,90.0,0.0,0.0,10.2,0.0
2014-09-02 06:00,2014-09-02 06:59,32.7,0.7,0.0,9.8,1.6
2014-09-02 07:00,2014-09-02 07:59,0.0,76.0,0.0,11.8,53.4
2014-09-02 08:00,2014-09-02 08:59,0.0,293.3,0.0,14.6,191.4
2014-09-02 09:00,2014-09-02 09:59,0.0,472.2,0.0,16.7,294.8
2014-09-02 10:00,2014-09-02 10:59,0.0,644.1,0.0,18.1,405.9
2014-09-02 11:00,2014-09-02 11:59,0.0,854.8,0.0,18.9,530.0
2014-09-02 12:00,2014-09-02 12:59,19.0,873.1,0.0,19.3,577.8
2014-09-02 13:00,2014-09-02 13:59,90.0,629.3,0.0,19.7,593.3
2014-09-02 14:00,2014-09-02 14:59,90.0,597.9,0.0,20.1,559.3
2014-09-02 15:00,2014-09-02 15:59,90.0,527.2,0.0,19.8,489.5
2014-09-02 16:00,2014-09-02 16:59,90.0,380.1,0.0,19.8,343.1
2014-09-02 17:00,2014-09-02 17:59,38.0,360.0,0.0,19.9,245.5
2014-09-02 18:00,2014-09-02 18:59,0.0,241.4,0.0,19.7,120.8
2014-09-02 19:00,2014-09-02 19:59,0.0,65.7,0.0,18.3,31.3
2014-09-02 20:00,2014-09-02 20:59,77.1,0.2,0.0,14.4,0.4
2014-09-02 21:00,2014-09-02 21:59,90.0,0.0,0.0,12.2,0.0
2014-09-02 22:00,2014-09-02 22:59,90.0,0.0,0.0,11.0,0.0
2014-09-02 23:00,2014-09-02 23:59,90.0,0.0,0.0,10.5,0.0
2014-09-03 00:00,2014-09-03 00:59,90.0,0.0,0.0,9.8,0.0
2014-09-03 01:00,2014-09-03 01:59,90.0,0.0,0.0,9.2,0.0
2014-09-03 02:00,2014-09-03 02:59,90.0,0.0,0.0,8.9,0.0
2014-09-03 03:00,2014-09-03 03:59,90.0,0.0,0.0,9.2,0.0
2014-09-03 04:00,2014-09-03 04:59,90.0,0.0,0.0,9.1,0.0
2014-09-03 05:00,2014-09-03 05:59,90.0,0.0,0.0,9.0,0.0
2014-09-03 06:00,2014-09-03 06:59,35.1,0.5,0.0,8.6,1.5
2014-09-03 07:00,2014-09-03 07:59,0.0,77.0,0.0,10.3,55.3
2014-09-03 08:00,2014-09-03 08:59,0.0,294.7,0.0,15.3,192.3
2014-09-03 09:00,2014-09-03 09:59,0.0,507.5,0.0,17.8,321.3
2014-09-03 10:00,2014-09-03 10:59,0.0,705.6,0.0,18.7,443.6
2014-09-03 11:00,2014-09-03 11:59,10.5,808.3,0.0,19.3,520.8
2014-09-03 12:00,2014-09-03 12:59,90.0,599.8,0.0,19.8,573.7
2014-09-03 13:00,2014-09-03 13:59,90.0,525.1,0.0,19.9,482.9
2014-09-03 14:00,2014-09-03 14:59,35.0,582.4,0.0,19.8,393.4
2014-09-03 15:00,2014-09-03 15:59,80.0,488.7,0.0,20.2,437.1
