generation,n_evaluations,hypervolume,igd_plus,spacing,n_solutions
10,1000,0.0,,3919.4130206057935,100
20,2000,0.0,,6921.766762963112,100
30,3000,0.0,,5915.461079947191,100
40,4000,0.0,,5968.939326385567,100
50,5000,0.0,,7375.184561531191,100
60,6000,0.0,,5100.4496996292155,100
70,7000,0.0,,6395.737053741344,100
80,8000,0.0,,8220.460122079956,100
90,9000,0.0,,6610.238659707504,100
100,10000,0.0,,6439.643942014466,100
110,11000,0.0,,5404.562689219518,100
120,12000,0.0,,5385.993437339202,100
130,13000,0.0,,5326.261501227241,100
140,14000,0.0,,8668.364309631175,100
150,15000,0.0,,7432.3734463286955,100
160,16000,0.0,,5864.926760270598,100
170,17000,0.0,,7133.7520375542435,100
180,18000,0.0,,6025.018693966408,100
190,19000,0.0,,5609.772434130115,100
200,20000,0.0,,9053.788447386625,100
