generation,n_evaluations,hypervolume,igd_plus,spacing,n_solutions
10,1000,0.0,,3919.4130206057935,100
20,2000,0.0,,4707.108431999047,100
30,3000,0.0,,4304.911999870003,100
40,4000,0.0,,5743.426440814706,100
50,5000,0.0,,6993.937416779494,100
60,6000,0.0,,8791.443560024005,100
70,7000,0.0,,7209.608661991402,100
80,8000,0.0,,7192.348583758989,100
90,9000,0.0,,7100.053421414083,100
100,10000,0.0,,6116.571018415923,100
110,11000,0.0,,4631.79414859704,100
120,12000,0.0,,4393.429527360719,100
130,13000,0.0,,6527.3935086646525,100
140,14000,0.0,,6150.66342165007,100
150,15000,0.0,,4341.962152881235,100
160,16000,0.0,,4736.270884033833,100
170,17000,0.0,,6454.665775793027,100
180,18000,0.0,,7767.081193434518,100
190,19000,0.0,,6533.990366901938,100
200,20000,0.0,,6181.125361031742,100
210,21000,0.0,,7304.79359871545,100
220,22000,0.0,,6633.327514776976,100
230,23000,0.0,,4939.44931965962,100
240,24000,0.0,,7013.506429466314,100
250,25000,0.0,,8326.930311292743,100
260,26000,0.0,,6851.585035198594,100
270,27000,0.0,,7102.056823535566,100
280,28000,0.0,,5983.938791497463,100
290,29000,0.0,,6484.816586813821,100
300,30000,0.0,,5027.645749044483,100
310,31000,0.0,,4731.453456625915,100
320,32000,0.0,,6987.401163122861,100
330,33000,0.0,,5984.836866346334,100
340,34000,0.0,,7617.582761826451,100
350,35000,0.0,,4407.884379046549,100
360,36000,0.0,,5568.112923381326,100
370,37000,0.0,,7252.188217161347,100
380,38000,0.0,,6966.252506709496,100
390,39000,0.0,,6559.290110578922,100
400,40000,0.0,,6327.460387070753,100
410,41000,0.0,,6006.155940778091,100
420,42000,0.0,,6935.0874538812095,100
430,43000,0.0,,6694.228369237968,100
440,44000,0.0,,5124.337715975791,100
450,45000,0.0,,5681.978432289559,100
460,46000,0.0,,7797.892275621163,100
470,47000,0.0,,6449.414087557607,100
480,48000,0.0,,6937.572795479302,100
490,49000,0.0,,5735.078472963742,100
500,50000,0.0,,6861.930327707576,100
