generation,n_evaluations,hypervolume,igd_plus,spacing,n_solutions
0,100,172.7986308694566,,0.11995126778672748,100
10,1100,171.00992430200446,,0.1130513628742164,100
20,2100,191.13760719440654,,0.13010295753358747,100
30,3100,177.9242024571252,,0.14416027987915903,100
40,4100,186.04032286480592,,0.12597873146679456,100
50,5100,197.90527578946882,,0.10246274685260136,100
60,6100,201.89610739418728,,0.09802617171987796,100
70,7100,193.59267854228497,,0.13005132978313816,100
80,8100,197.3218036868554,,0.18083270313490904,100
90,9100,202.0572378249575,,0.14997547578308412,100
100,10100,186.2999615339271,,0.19555563819096933,100
110,11100,186.54794633583847,,0.25431483259025384,100
120,12100,177.05780361912093,,0.24877894900824615,100
130,13100,183.75391755273338,,0.18784418271002515,100
140,14100,185.2637695674393,,0.09809824901777031,100
150,15100,193.4978364652541,,0.096521323522348,100
160,16100,199.86378059335186,,0.11915391200363694,100
170,17100,187.15048169401263,,0.0963253579903709,100
180,18100,188.32966862904362,,0.14108127953650365,100
190,19100,184.0253258850737,,0.09542637551336426,100
