era_id,resolution,computed_at,sensor_features,optimization_metrics
0,15min,2025-06-01 17:51:05.546671+00,"{""co2_mean_max"": 860.6, ""co2_mean_min"": 631.2, ""co2_mean_std"": 41.388392552992045, ""co2_mean_mean"": 805.1395833333335, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.7819325032995571, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1448.4991068879337, ""temp_mean_mean"": 21.258333333333322, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1834.322916666666, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 61.9, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.7955647875826846, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 53.29166666666666, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3606666666666667, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.9016666666666667, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.9016666666666667, ""environmental_coupling_score"": 0.0}"
0,60min,2025-06-01 17:51:05.547416+00,"{""co2_mean_max"": 860.6, ""co2_mean_min"": 631.2, ""co2_mean_std"": 41.388392552992045, ""co2_mean_mean"": 805.1395833333335, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.7819325032995571, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1448.4991068879337, ""temp_mean_mean"": 21.258333333333322, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1834.322916666666, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 61.9, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.7955647875826846, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 53.29166666666666, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3606666666666667, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.9016666666666667, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.9016666666666667, ""environmental_coupling_score"": 0.0}"
0,240min,2025-06-01 17:51:05.547459+00,"{""co2_mean_max"": 860.6, ""co2_mean_min"": 631.2, ""co2_mean_std"": 41.388392552992045, ""co2_mean_mean"": 805.1395833333335, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.7819325032995571, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1448.4991068879337, ""temp_mean_mean"": 21.258333333333322, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1834.322916666666, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 61.9, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.7955647875826846, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 53.29166666666666, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3606666666666667, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.9016666666666667, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.9016666666666667, ""environmental_coupling_score"": 0.0}"
0,720min,2025-06-01 17:51:05.547476+00,"{""co2_mean_max"": 860.6, ""co2_mean_min"": 631.2, ""co2_mean_std"": 41.388392552992045, ""co2_mean_mean"": 805.1395833333335, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.7819325032995571, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1448.4991068879337, ""temp_mean_mean"": 21.258333333333322, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1834.322916666666, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 61.9, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.7955647875826846, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 53.29166666666666, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3606666666666667, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.9016666666666667, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.9016666666666667, ""environmental_coupling_score"": 0.0}"
0,1440min,2025-06-01 17:51:05.547491+00,"{""co2_mean_max"": 860.6, ""co2_mean_min"": 631.2, ""co2_mean_std"": 41.388392552992045, ""co2_mean_mean"": 805.1395833333335, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.7819325032995571, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1448.4991068879337, ""temp_mean_mean"": 21.258333333333322, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1834.322916666666, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 61.9, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.7955647875826846, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 53.29166666666666, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3606666666666667, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.9016666666666667, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.9016666666666667, ""environmental_coupling_score"": 0.0}"
12,15min,2025-06-01 17:51:05.547538+00,"{""co2_mean_max"": 837.2, ""co2_mean_min"": 456.1, ""co2_mean_std"": 104.04527315187472, ""co2_mean_mean"": 761.2166666666667, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.742763552576094, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1375.138696131882, ""temp_mean_mean"": 21.19791666666666, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1710.229166666667, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 58.8, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.0472163497640765, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 52.71458333333334, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3595833333333333, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.8989583333333332, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.8989583333333332, ""environmental_coupling_score"": 0.0}"
12,60min,2025-06-01 17:51:05.547554+00,"{""co2_mean_max"": 837.2, ""co2_mean_min"": 456.1, ""co2_mean_std"": 104.04527315187472, ""co2_mean_mean"": 761.2166666666667, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.742763552576094, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1375.138696131882, ""temp_mean_mean"": 21.19791666666666, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1710.229166666667, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 58.8, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.0472163497640765, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 52.71458333333334, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3595833333333333, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.8989583333333332, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.8989583333333332, ""environmental_coupling_score"": 0.0}"
12,240min,2025-06-01 17:51:05.547567+00,"{""co2_mean_max"": 837.2, ""co2_mean_min"": 456.1, ""co2_mean_std"": 104.04527315187472, ""co2_mean_mean"": 761.2166666666667, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.742763552576094, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1375.138696131882, ""temp_mean_mean"": 21.19791666666666, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1710.229166666667, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 58.8, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.0472163497640765, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 52.71458333333334, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3595833333333333, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.8989583333333332, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.8989583333333332, ""environmental_coupling_score"": 0.0}"
12,720min,2025-06-01 17:51:05.54758+00,"{""co2_mean_max"": 837.2, ""co2_mean_min"": 456.1, ""co2_mean_std"": 104.04527315187472, ""co2_mean_mean"": 761.2166666666667, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.742763552576094, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1375.138696131882, ""temp_mean_mean"": 21.19791666666666, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1710.229166666667, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 58.8, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.0472163497640765, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 52.71458333333334, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3595833333333333, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.8989583333333332, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.8989583333333332, ""environmental_coupling_score"": 0.0}"
12,1440min,2025-06-01 17:51:05.547594+00,"{""co2_mean_max"": 837.2, ""co2_mean_min"": 456.1, ""co2_mean_std"": 104.04527315187472, ""co2_mean_mean"": 761.2166666666667, ""temp_mean_max"": 24.8, ""temp_mean_min"": 20.3, ""temp_mean_std"": 0.742763552576094, ""co2_mean_count"": 48.0, ""lamp_ratio_max"": 0.0, ""lamp_ratio_min"": 0.0, ""lamp_ratio_std"": 0.0, ""light_mean_max"": 5877.1, ""light_mean_min"": 0.0, ""light_mean_std"": 1375.138696131882, ""temp_mean_mean"": 21.19791666666666, ""lamp_ratio_mean"": 0.0, ""light_mean_mean"": 1710.229166666667, ""temp_mean_count"": 48.0, ""lamp_ratio_count"": 48.0, ""light_mean_count"": 48.0, ""humidity_mean_max"": 58.8, ""humidity_mean_min"": 47.1, ""humidity_mean_std"": 3.0472163497640765, ""heating_mean_count"": 0.0, ""humidity_mean_mean"": 52.71458333333334, ""humidity_mean_count"": 48.0, ""radiation_mean_count"": 0.0, ""ventilation_mean_count"": 0.0}","{""obj3_minimize_stress"": 0.8833333333333333, ""sustainability_score"": 0.3595833333333333, ""energy_cost_efficiency"": 0.0, ""growth_performance_score"": 0.8989583333333332, ""obj1_minimize_energy_cost"": 1.0, ""obj2_maximize_growth_rate"": 0.8989583333333332, ""environmental_coupling_score"": 0.0}"
