air_temp_c,co2_measured_ppm,co2_required_ppm,light_intensity_umol,relative_humidity_percent,source_file,time,time_dt,DLI_mol_m2_d
20.6,770.0,,,52.9,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 00:00:00+00:00,2013-12-01 00:00:00+00:00,0.0
,,,,,/app/data/aarslev/december2013/MortenSDUData2.csv,2013-12-01 00:00:00+00:00,2013-12-01 00:00:00+00:00,0.0
,,,0.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 00:00:00+00:00,2013-12-01 00:00:00+00:00,0.0
21.2,631.2,,,52.8,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 01:00:00+00:00,2013-12-01 01:00:00+00:00,0.0
,,,0.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 01:00:00+00:00,2013-12-01 01:00:00+00:00,0.0
21.6,812.2,,,54.8,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 02:00:00+00:00,2013-12-01 02:00:00+00:00,0.0
,,,1895.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 02:00:00+00:00,2013-12-01 02:00:00+00:00,0.0
21.4,853.2,,,56.6,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 03:00:00+00:00,2013-12-01 03:00:00+00:00,0.0
,,,2000.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 03:00:00+00:00,2013-12-01 03:00:00+00:00,0.0
20.9,860.6,,,60.0,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 04:00:00+00:00,2013-12-01 04:00:00+00:00,0.0
,,,2000.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 04:00:00+00:00,2013-12-01 04:00:00+00:00,0.0
21.0,845.6,,,58.0,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 05:00:00+00:00,2013-12-01 05:00:00+00:00,0.0
,,,2000.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 05:00:00+00:00,2013-12-01 05:00:00+00:00,0.0
20.9,842.2,,,57.9,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 06:00:00+00:00,2013-12-01 06:00:00+00:00,0.0
,,,2000.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 06:00:00+00:00,2013-12-01 06:00:00+00:00,0.0
21.0,853.9,,,58.1,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 07:00:00+00:00,2013-12-01 07:00:00+00:00,0.0
,,,2000.0,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 07:00:00+00:00,2013-12-01 07:00:00+00:00,0.0
20.6,822.1,,,59.3,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 08:00:00+00:00,2013-12-01 08:00:00+00:00,0.0
,,,2001.3,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 08:00:00+00:00,2013-12-01 08:00:00+00:00,0.0
21.7,838.5,,,61.3,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 09:00:00+00:00,2013-12-01 09:00:00+00:00,0.0
,,,2763.8,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 09:00:00+00:00,2013-12-01 09:00:00+00:00,0.0
21.3,816.6,,,61.9,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 10:00:00+00:00,2013-12-01 10:00:00+00:00,0.0
,,,3157.2,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 10:00:00+00:00,2013-12-01 10:00:00+00:00,0.0
22.8,809.4,,,56.4,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 11:00:00+00:00,2013-12-01 11:00:00+00:00,0.0
,,,5088.7,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 11:00:00+00:00,2013-12-01 11:00:00+00:00,0.0
22.5,810.6,,,56.4,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 12:00:00+00:00,2013-12-01 12:00:00+00:00,0.0
,,,4548.6,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 12:00:00+00:00,2013-12-01 12:00:00+00:00,0.0
24.8,814.0,,,52.0,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 13:00:00+00:00,2013-12-01 13:00:00+00:00,0.0
