air_temp_c,co2_measured_ppm,co2_required_ppm,curtain_1_percent,curtain_2_percent,curtain_3_percent,curtain_4_percent,lamp_grp1_no3_status,lamp_grp1_no4_status,lamp_grp2_no3_status,lamp_grp2_no4_status,lamp_grp3_no3_status,lamp_grp4_no3_status,light_intensity_umol,measured_status_bool,outside_temp_c,rain_status,relative_humidity_percent,source_file,time,vent_lee_afd3_percent,vent_lee_afd4_percent,vent_pos_1_percent,vent_pos_2_percent,vent_wind_afd3_percent,vent_wind_afd4_percent,window_1_percent,window_2_percent,time_dt,DLI_mol_m2_d,temp_delta_in_out,air_temp_c_RoC_per_s,relative_humidity_percent_RoC_per_s,air_temp_c_RollingAvg_60min,relative_humidity_percent_RollingAvg_60min
20.6,770.0,,,,,,,,,,,,,,,,52.9,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 00:00:00+00:00,,,,,,,,,2013-12-01 00:00:00+00:00,0.0,,,,20.6,52.9
,,,70.8,,70.8,,,,,,,,,,,,,/app/data/aarslev/december2013/MortenSDUData2.csv,2013-12-01 00:00:00+00:00,,,,,,,0.0,0.0,2013-12-01 00:00:00+00:00,0.0,,,,20.6,52.9
,,,,,,100.0,,,,,,,0.0,,4.2,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 00:00:00+00:00,,,,,,,,,2013-12-01 00:00:00+00:00,0.0,,,,20.6,52.9
21.2,631.2,,,,,,,,,,,,,,,,52.8,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 01:00:00+00:00,,,,,,,,,2013-12-01 01:00:00+00:00,0.0,,,,21.2,52.8
,,,,,,100.0,,,,,,,0.0,,5.4,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 01:00:00+00:00,,,,,,,,,2013-12-01 01:00:00+00:00,0.0,,,,21.2,52.8
21.6,812.2,,,,,,,,,,,,,,,,54.8,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 02:00:00+00:00,,,,,,,,,2013-12-01 02:00:00+00:00,0.0,,,,21.6,54.8
,,,,,,100.0,,,,,,,1895.0,,6.4,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 02:00:00+00:00,,,,,,,,,2013-12-01 02:00:00+00:00,0.0,,,,21.6,54.8
21.4,853.2,,,,,,,,,,,,,,,,56.6,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 03:00:00+00:00,,,,,,,,,2013-12-01 03:00:00+00:00,0.0,,,,21.4,56.6
,,,,,,100.0,,,,,,,2000.0,,7.1,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 03:00:00+00:00,,,,,,,,,2013-12-01 03:00:00+00:00,0.0,,,,21.4,56.6
20.9,860.6,,,,,,,,,,,,,,,,60.0,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 04:00:00+00:00,,,,,,,,,2013-12-01 04:00:00+00:00,0.0,,,,20.9,60.0
,,,,,,100.0,,,,,,,2000.0,,7.6,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 04:00:00+00:00,,,,,,,,,2013-12-01 04:00:00+00:00,0.0,,,,20.9,60.0
21.0,845.6,,,,,,,,,,,,,,,,58.0,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 05:00:00+00:00,,,,,,,,,2013-12-01 05:00:00+00:00,0.0,,,,21.0,58.0
,,,,,,100.0,,,,,,,2000.0,,7.8,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 05:00:00+00:00,,,,,,,,,2013-12-01 05:00:00+00:00,0.0,,,,21.0,58.0
20.9,842.2,,,,,,,,,,,,,,,,57.9,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 06:00:00+00:00,,,,,,,,,2013-12-01 06:00:00+00:00,0.0,,,,20.9,57.9
,,,,,,100.0,,,,,,,2000.0,,7.7,True,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 06:00:00+00:00,,,,,,,,,2013-12-01 06:00:00+00:00,0.0,,,,20.9,57.9
21.0,853.9,,,,,,,,,,,,,,,,58.1,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 07:00:00+00:00,,,,,,,,,2013-12-01 07:00:00+00:00,0.0,,,,21.0,58.1
,,,,,,100.0,,,,,,,2000.0,,7.7,True,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 07:00:00+00:00,,,,,,,,,2013-12-01 07:00:00+00:00,0.0,,,,21.0,58.1
20.6,822.1,,,,,,,,,,,,,,,,59.3,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 08:00:00+00:00,,,,,,,,,2013-12-01 08:00:00+00:00,0.0,,,,20.6,59.3
,,,,,,53.0,,,,,,,2001.3,,8.1,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 08:00:00+00:00,,,,,,,,,2013-12-01 08:00:00+00:00,0.0,,,,20.6,59.3
21.7,838.5,,,,,,,,,,,,,,,,61.3,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 09:00:00+00:00,,,,,,,,,2013-12-01 09:00:00+00:00,0.0,,,,21.7,61.3
,,,,,,0.0,,,,,,,2763.8,,8.4,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 09:00:00+00:00,,,,,,,,,2013-12-01 09:00:00+00:00,0.0,,,,21.7,61.3
21.3,816.6,,,,,,,,,,,,,,,,61.9,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 10:00:00+00:00,,,,,,,,,2013-12-01 10:00:00+00:00,0.0,,,,21.3,61.9
,,,,,,0.0,,,,,,,3157.2,,8.5,False,,/app/data/aarslev/december2013/MortenSDUData3.csv,2013-12-01 10:00:00+00:00,,,,,,,,,2013-12-01 10:00:00+00:00,0.0,,,,21.3,61.9
22.8,809.4,,,,,,,,,,,,,,,,56.4,/app/data/aarslev/december2013/MortenSDUData.csv,2013-12-01 11:00:00+00:00,,,,,,,,,2013-12-01 11:00:00+00:00,0.0,,,,22.8,56.4
